"BC9","BC10","JB5","JB7","135E","JBC","JB370","cond","rep","pres.BC9","pres.BC10","pres.JB5","pres.JB7","pres.X135E","pres.JBC","pres.JB370","day","pH"
2.69e+08,0,0,0,0,5.1e+07,0,"paired-comp",5,1,0,0,0,0,1,0,21,7
1.92e+08,0,0,0,0,0,1040000,"paired-comp",1,1,0,0,0,0,0,1,21,7
8.1e+07,0,0,0,0,0,990000,"paired-comp",2,1,0,0,0,0,0,1,21,7
2.34e+08,0,0,0,0,0,220000,"paired-comp",3,1,0,0,0,0,0,1,21,7
2.1e+08,0,0,0,0,0,510000,"paired-comp",4,1,0,0,0,0,0,1,21,7
4.36e+08,0,0,0,0,0,320000,"paired-comp",5,1,0,0,0,0,0,1,21,7
0,2.15e+08,1.84e+09,0,0,0,0,"paired-comp",1,0,1,1,0,0,0,0,21,7
0,2.63e+08,1.77e+09,0,0,0,0,"paired-comp",2,0,1,1,0,0,0,0,21,7
0,3.6e+08,6.02e+09,0,0,0,0,"paired-comp",3,0,1,1,0,0,0,0,21,7
0,1.48e+08,3.76e+09,0,0,0,0,"paired-comp",4,0,1,1,0,0,0,0,21,7
0,2.6e+08,3.26e+09,0,0,0,0,"paired-comp",5,0,1,1,0,0,0,0,21,7
0,2.07e+08,0,2.43e+09,0,0,0,"paired-comp",1,0,1,0,1,0,0,0,21,7
0,2.41e+08,0,2.24e+09,0,0,0,"paired-comp",2,0,1,0,1,0,0,0,21,7
0,4.1e+08,0,2.33e+09,0,0,0,"paired-comp",3,0,1,0,1,0,0,0,21,7
0,2.8e+08,0,2.91e+09,0,0,0,"paired-comp",4,0,1,0,1,0,0,0,21,7
0,3.5e+08,0,3.27e+09,0,0,0,"paired-comp",5,0,1,0,1,0,0,0,21,7
0,4.33e+08,0,0,6400000,0,0,"paired-comp",2,0,1,0,0,1,0,0,21,7
0,1.76e+08,0,0,5800000,0,0,"paired-comp",3,0,1,0,0,1,0,0,21,7
0,1.23e+08,0,0,3.1e+07,0,0,"paired-comp",4,0,1,0,0,1,0,0,21,7
0,4.37e+08,0,0,9200000,0,0,"paired-comp",5,0,1,0,0,1,0,0,21,7
0,1.14e+08,0,0,0,5.3e+07,0,"paired-comp",1,0,1,0,0,0,1,0,21,7
0,1.28e+08,0,0,0,6.2e+07,0,"paired-comp",2,0,1,0,0,0,1,0,21,7
0,1.01e+08,0,0,0,5.8e+07,0,"paired-comp",3,0,1,0,0,0,1,0,21,7
0,1.52e+08,0,0,0,5.9e+07,0,"paired-comp",4,0,1,0,0,0,1,0,21,7
0,1.14e+08,0,0,0,6.7e+07,0,"paired-comp",5,0,1,0,0,0,1,0,21,7
0,6.6e+07,0,0,0,0,9e+05,"paired-comp",1,0,1,0,0,0,0,1,21,7
0,6e+07,0,0,0,0,360000,"paired-comp",2,0,1,0,0,0,0,1,21,7
0,9.2e+07,0,0,0,0,240000,"paired-comp",3,0,1,0,0,0,0,1,21,7
0,1.47e+08,0,0,0,0,440000,"paired-comp",4,0,1,0,0,0,0,1,21,7
0,3.31e+08,0,0,0,0,640000,"paired-comp",5,0,1,0,0,0,0,1,21,7
0,0,1.9e+09,1.42e+09,0,0,0,"paired-comp",1,0,0,1,1,0,0,0,21,7
0,0,1.82e+09,2.07e+09,0,0,0,"paired-comp",2,0,0,1,1,0,0,0,21,7
0,0,2.69e+09,1.96e+09,0,0,0,"paired-comp",3,0,0,1,1,0,0,0,21,7
0,0,2.51e+09,2.02e+09,0,0,0,"paired-comp",4,0,0,1,1,0,0,0,21,7
0,0,1.81e+09,1.69e+09,0,0,0,"paired-comp",5,0,0,1,1,0,0,0,21,7
0,0,3.3e+09,0,1.2e+07,0,0,"paired-comp",1,0,0,1,0,1,0,0,21,7
0,0,2.6e+09,0,11700000,0,0,"paired-comp",2,0,0,1,0,1,0,0,21,7
0,0,3.59e+09,0,11600000,0,0,"paired-comp",3,0,0,1,0,1,0,0,21,7
0,0,3.1e+09,0,13500000,0,0,"paired-comp",4,0,0,1,0,1,0,0,21,7
0,0,5.4e+09,0,7900000,0,0,"paired-comp",5,0,0,1,0,1,0,0,21,7
0,0,48900000,0,0,3.8e+07,0,"paired-comp",1,0,0,1,0,0,1,0,21,7
0,0,1.2e+08,0,0,5.9e+07,0,"paired-comp",2,0,0,1,0,0,1,0,21,7
0,0,9e+07,0,0,5.9e+07,0,"paired-comp",3,0,0,1,0,0,1,0,21,7
0,0,1.5e+07,0,0,5e+07,0,"paired-comp",4,0,0,1,0,0,1,0,21,7
0,0,1.07e+09,0,0,0,1120000,"paired-comp",1,0,0,1,0,0,0,1,21,7
0,0,3.2e+08,0,0,0,1010000,"paired-comp",2,0,0,1,0,0,0,1,21,7
0,0,1.06e+09,0,0,0,1130000,"paired-comp",3,0,0,1,0,0,0,1,21,7
0,0,6.8e+08,0,0,0,1140000,"paired-comp",4,0,0,1,0,0,0,1,21,7
0,0,6.2e+08,0,0,0,760000,"paired-comp",5,0,0,1,0,0,0,1,21,7
0,0,0,3.73e+09,10400000,0,0,"paired-comp",1,0,0,0,1,1,0,0,21,7
0,0,0,5.2e+09,12200000,0,0,"paired-comp",2,0,0,0,1,1,0,0,21,7
0,0,0,2.83e+09,12400000,0,0,"paired-comp",3,0,0,0,1,1,0,0,21,7
0,0,0,5.3e+09,16900000,0,0,"paired-comp",4,0,0,0,1,1,0,0,21,7
0,0,0,4.4e+09,11500000,0,0,"paired-comp",5,0,0,0,1,1,0,0,21,7
0,0,0,1.68e+09,0,4.3e+07,0,"paired-comp",1,0,0,0,1,0,1,0,21,7
0,0,0,1.91e+09,0,4.2e+07,0,"paired-comp",2,0,0,0,1,0,1,0,21,7
0,0,0,1.26e+09,0,5e+07,0,"paired-comp",3,0,0,0,1,0,1,0,21,7
0,0,0,1.12e+09,0,4.4e+07,0,"paired-comp",4,0,0,0,1,0,1,0,21,7
0,0,0,1.81e+09,0,4.7e+07,0,"paired-comp",5,0,0,0,1,0,1,0,21,7
0,0,0,1.06e+09,0,0,1020000,"paired-comp",1,0,0,0,1,0,0,1,21,7
0,0,0,1.59e+09,0,0,1340000,"paired-comp",2,0,0,0,1,0,0,1,21,7
0,0,0,1.67e+09,0,0,1680000,"paired-comp",3,0,0,0,1,0,0,1,21,7
0,0,0,1.72e+09,0,0,1360000,"paired-comp",5,0,0,0,1,0,0,1,21,7
0,0,0,0,0,6e+07,0,"paired-comp",1,0,0,0,0,1,1,0,21,7
0,0,0,0,0,3e+07,0,"paired-comp",2,0,0,0,0,1,1,0,21,7
0,0,0,0,0,5.2e+07,0,"paired-comp",3,0,0,0,0,1,1,0,21,7
0,0,0,0,0,5.7e+07,0,"paired-comp",4,0,0,0,0,1,1,0,21,7
0,0,0,0,0,6e+07,0,"paired-comp",5,0,0,0,0,1,1,0,21,7
0,0,0,0,2480000,0,1340000,"paired-comp",1,0,0,0,0,1,0,1,21,7
0,0,0,0,1760000,0,590000,"paired-comp",2,0,0,0,0,1,0,1,21,7
0,0,0,0,2330000,0,810000,"paired-comp",3,0,0,0,0,1,0,1,21,7
0,0,0,0,18900000,0,3110000,"paired-comp",4,0,0,0,0,1,0,1,21,7
0,0,0,0,0,3.7e+07,90,"paired-comp",2,0,0,0,0,0,1,1,21,7
0,0,0,0,0,9.9e+07,1100,"paired-comp",3,0,0,0,0,0,1,1,21,7
0,0,0,0,0,5.2e+07,2730,"paired-comp",4,0,0,0,0,0,1,1,21,7
0,0,0,0,0,4.5e+07,1640,"paired-comp",5,0,0,0,0,0,1,1,21,7
