"BC9","BC10","JB5","JB7","135E","JBC","JB370","cond","rep","pres.BC9","pres.BC10","pres.JB5","pres.JB7","pres.X135E","pres.JBC","pres.JB370","day","pH"
0,6.3e+07,3.9e+09,0,0,0,0,"paired-comp",4,0,1,1,0,0,0,0,21,5
0,4.1e+07,2.97e+09,0,0,0,0,"paired-comp",5,0,1,1,0,0,0,0,21,5
0,1.02e+08,0,1.49e+09,0,0,0,"paired-comp",1,0,1,0,1,0,0,0,21,5
0,1.6e+07,0,8.1e+07,0,0,0,"paired-comp",2,0,1,0,1,0,0,0,21,5
0,7.5e+07,0,1.41e+09,0,0,0,"paired-comp",3,0,1,0,1,0,0,0,21,5
0,8.6e+07,0,1.14e+09,0,0,0,"paired-comp",4,0,1,0,1,0,0,0,21,5
0,9.6e+07,0,1.72e+09,0,0,0,"paired-comp",5,0,1,0,1,0,0,0,21,5
0,2.29e+08,0,0,4.5e+07,0,0,"paired-comp",2,0,1,0,0,1,0,0,21,5
0,5e+07,0,0,39400000,0,0,"paired-comp",3,0,1,0,0,1,0,0,21,5
0,5.6e+07,0,0,3.1e+07,0,0,"paired-comp",4,0,1,0,0,1,0,0,21,5
0,4.3e+07,0,0,3.5e+07,0,0,"paired-comp",5,0,1,0,0,1,0,0,21,5
0,12700000,0,0,0,4.5e+07,0,"paired-comp",2,0,1,0,0,0,1,0,21,5
0,34700000,0,0,0,4.7e+07,0,"paired-comp",3,0,1,0,0,0,1,0,21,5
0,10300000,0,0,0,6.9e+07,0,"paired-comp",4,0,1,0,0,0,1,0,21,5
0,28800000,0,0,0,6.3e+07,0,"paired-comp",5,0,1,0,0,0,1,0,21,5
0,1.3e+08,0,0,0,0,1800000,"paired-comp",1,0,1,0,0,0,0,1,21,5
0,2.88e+08,0,0,0,0,5800000,"paired-comp",2,0,1,0,0,0,0,1,21,5
0,2.86e+08,0,0,0,0,9500000,"paired-comp",3,0,1,0,0,0,0,1,21,5
0,1.96e+08,0,0,0,0,8100000,"paired-comp",5,0,1,0,0,0,0,1,21,5
0,0,242000,1600,0,0,0,"paired-comp",1,0,0,1,1,0,0,0,21,5
0,0,1010000,200,0,0,0,"paired-comp",2,0,0,1,1,0,0,0,21,5
0,0,132000,120,0,0,0,"paired-comp",3,0,0,1,1,0,0,0,21,5
0,0,170000,250,0,0,0,"paired-comp",4,0,0,1,1,0,0,0,21,5
0,0,8.6e+08,0,16400000,0,0,"paired-comp",1,0,0,1,0,1,0,0,21,5
0,0,2.54e+09,0,15700000,0,0,"paired-comp",2,0,0,1,0,1,0,0,21,5
0,0,2.39e+09,0,15900000,0,0,"paired-comp",3,0,0,1,0,1,0,0,21,5
