target,source,target.label,source.label,order,intx.effect,est,log.abs.est.per1000,norm.log.abs.est.per1000,perc.abs.est.per1000,norm.log.perc.abs.est.per1000
inhibitJB5ph7,inhibitBC10ph7,Brevibacterium,S. xylosus,3,inhibit,1.27656966558843,3.1060445203193234,6.106044520319323,3.273255552790846e-5,1.5149799132928239
inhibitJB5ph7,inhibitBC9ph7,Brevibacterium,S. equorum,4,inhibit,2.62291528640018,3.4187842641919315,6.418784264191931,6.725423811282513e-5,1.8277196571654324
inhibitJB5ph7,inhibitJB7ph7,Brevibacterium,Brachybacterium,2,inhibit,0.928434254130707,2.967751155163368,5.967751155163368,2.3806006516171976e-5,1.3766865481368686
inhibitJB5ph7,inhibit135Eph7,Brevibacterium,Diutina,7,inhibit,37.8058202420809,4.5775586650340045,7.5775586650340045,0.00096938000620720255,2.9864940580075054
inhibitJB5ph7,inhibitJBCph7,Brevibacterium,Penicillium,5,inhibit,72.2906473500825,4.859082113795384,7.859082113795384,0.0018536063423098075,3.268017506768885
inhibitJB5ph7,inhibitJB370ph7,Brevibacterium,Scopulariopsis,6,inhibit,2976.49486055337,6.47370513700192,9.47370513700192,0.07632038103983,4.882640529975421
stimulateJB7ph7,stimulateBC10ph7,Brachybacterium,S. xylosus,3,stimulate,-2.89910837784351,3.462264450960245,6.4622644509602445,1.662332785460728e-4,2.2207179703636966
stimulateJB7ph7,stimulateBC9ph7,Brachybacterium,S. equorum,4,stimulate,-1.57423549247668,3.197069699708669,6.197069699708669,9.026579658696558e-5,1.9555232191121208
stimulateJB7ph7,stimulateJB5ph7,Brachybacterium,Brevibacterium,1,stimulate,-0.0486115265834412,1.6867392597570032,4.686739259757003,2.787358175656032e-6,0.44519277916045485
stimulateJB7ph7,stimulate135Eph7,Brachybacterium,Diutina,7,stimulate,-201.448673698438,5.3041644124176415,8.304164412417641,0.011550956060690253,4.062617931821093
inhibitJB7ph7,inhibitJBCph7,Brachybacterium,Penicillium,5,inhibit,4.32189510625853,3.6356742222126743,6.635674222212675,2.4781508636803493e-4,2.394127741616126
inhibitJB7ph7,inhibitJB370ph7,Brachybacterium,Scopulariopsis,6,inhibit,141.315929675013,5.150191119952031,8.15019111995203,0.008102977618980102,3.9086446393554826
stimulate135Eph7,stimulateBC10ph7,Diutina,S. xylosus,3,stimulate,-0.00282153649752805,0.45048567238827447,3.4504856723882744,3.163157508439518e-5,1.5001208180121512
stimulate135Eph7,stimulateBC9ph7,Diutina,S. equorum,4,stimulate,-0.0201047824046637,1.3032993770676176,4.303299377067617,2.2538993727201458e-4,2.3529345226914944
stimulate135Eph7,stimulateJB5ph7,Diutina,Brevibacterium,1,stimulate,-5.15137480323368e-4,-0.28807685061360466,2.7119231493863953,5.775083860127444e-6,0.7615582950102722
stimulate135Eph7,stimulateJB7ph7,Diutina,Brachybacterium,2,stimulate,-8.92741344939105e-4,-0.04927435156744929,2.9507256484325506,1.0008311041918218e-5,1.0003607940564274
inhibit135Eph7,inhibitJBCph7,Diutina,Penicillium,5,inhibit,0.164397637515121,2.2158955721972267,5.215895572197226,0.0018430228420977688,3.265530717821104
stimulate135Eph7,stimulateJB370ph7,Diutina,Scopulariopsis,6,stimulate,-1.02998741170151,3.012831916878008,6.0128319168780084,0.011546944077371188,4.062467062501885
inhibitJBCph7,inhibitBC10ph7,Penicillium,S. xylosus,3,inhibit,0.0753267002285911,1.8769489430876671,4.876948943087667,1.0885361304709697e-4,2.0368428486309096
inhibitJBCph7,inhibitBC9ph7,Penicillium,S. equorum,4,inhibit,0.10980366290702,2.040616827853354,5.040616827853354,1.5867581344945083e-4,2.200510733396596
inhibitJBCph7,inhibitJB5ph7,Penicillium,Brevibacterium,1,inhibit,0.157495099778191,2.1972670459199155,5.197267045919915,2.2759407482397543e-4,2.357160951463158
inhibitJBCph7,inhibitJB7ph7,Penicillium,Brachybacterium,2,inhibit,0.0149791080819154,1.1754859544425809,4.175485954442581,2.164610994496445e-5,1.3353798599858226
inhibitJBCph7,inhibitJB370ph7,Penicillium,Scopulariopsis,6,inhibit,4996.39103568473,6.6986564204936085,9.69865642049361,7.220218259660015,6.85855032603685
inhibitJB370ph7,inhibitBC10ph7,Scopulariopsis,S. xylosus,3,inhibit,0.00353021207398875,0.54780079598174,3.54780079598174,2.728139160733192e-4,2.4358665196490588
inhibitJB370ph7,inhibitBC9ph7,Scopulariopsis,S. equorum,4,inhibit,0.00274992553636383,0.4393209339814868,3.4393209339814867,2.1251356540678747e-4,2.3273866576488054
inhibitJB370ph7,inhibitJB5ph7,Scopulariopsis,Brevibacterium,1,inhibit,2.75569506169002e-4,-0.5597688420446834,2.4402311579553166,2.1295943289721946e-5,1.3282968816226353
stimulateJB370ph7,stimulateJB7ph7,Scopulariopsis,Brachybacterium,2,stimulate,-5.75422917331634e-5,-1.240012845482763,1.759987154517237,4.446854075205827e-6,0.6480528781845551
stimulateJB370ph7,stimulate135Eph7,Scopulariopsis,Diutina,7,stimulate,-0.0862351429964325,1.9356842878560028,4.935684287856002,0.006664230525226623,3.823750011523321
inhibitJB370ph7,inhibitJBCph7,Scopulariopsis,Penicillium,5,inhibit,0.0189429530159129,1.2774476820879515,4.277447682087951,0.0014639067245682306,3.16551340575527
leg0-1,leg0-2,leg0-1,leg0-2,NA,NA,NA,-2.6020599913279625,0.3979400086720375,1.3000000000000005e-6,0.11394335230683694
leg9e-04-1,leg9e-04-2,leg9e-04-1,leg9e-04-2,NA,NA,NA,-0.026802492411967214,2.973197507588033,7.011415195457444e-4,2.845805685519684
leg0.3536-1,leg0.3536-2,leg0.3536-1,leg0.3536-2,NA,NA,NA,2.548455006504028,5.548455006504028,0.37815340802378095,5.577668018732531
leg132.9574-1,leg132.9574-2,leg132.9574-1,leg132.9574-2,NA,NA,NA,5.123712505420023,8.123712505420023,203.95311932553503,8.309530351945378
leg50000-1,leg50000-2,leg50000-1,leg50000-2,NA,NA,NA,7.698970004336019,10.698970004336019,109999.99999999997,11.041392685158225
