species,condition,day,pH,class,mean.CFUs,mean.measured.pH,med.CFUs,med.measured.pH,mean.log.CFUs,med.log.CFUs,dayChar
135E,community,0,5,fungi,1931,5.86,705,5.86,3.285782273779395,2.848189116991399,0
135E,community,0,7,fungi,1157,7.1,705,7.1,3.0633333589517497,2.848189116991399,0
135E,community,3,5,fungi,13220000,6.702,12800000,6.66,7.121231455149622,7.107209969647869,3
135E,community,3,7,fungi,4376000,7.25,4180000,7.16,6.641077313325375,6.6211762817750355,3
135E,community,10,5,fungi,902000,6.544,770000,6.55,5.955206537541942,5.886490725172482,10
135E,community,10,7,fungi,6400,6.712,2700,6.7,3.806179973983887,3.4313637641589874,10
135E,community,21,5,fungi,0,7.308,0,7.31,-Inf,-Inf,21
135E,community,21,7,fungi,0,7.79,0,7.82,-Inf,-Inf,21
BC10,alone,0,5,bacteria,254,5.86,218,5.86,2.404833716619938,2.3384564936046046,0
BC10,alone,0,7,bacteria,254,7.1,218,7.1,2.404833716619938,2.3384564936046046,0
BC10,alone,3,5,bacteria,77320000,6.004,66000000,5.96,7.888291845356515,7.819543935541868,3
BC10,alone,3,7,bacteria,183000000,7.22,131000000,7.2,8.26245108973043,8.117271295655764,3
BC10,alone,10,5,bacteria,81200000,6.5680000000000005,77000000,6.48,7.909556029241175,7.886490725172482,10
BC10,alone,10,7,bacteria,182800000,7.504,171000000,7.4,8.261976191397812,8.232996110392154,10
BC10,alone,21,5,bacteria,76500000,6.8175,77500000,6.855,7.883661435153617,7.889301702506311,21
BC10,alone,21,7,bacteria,249200000,7.72,201000000,7.59,8.396548037987133,8.30319605742049,21
BC10,135E,0,5,bacteria,254,5.86,218,5.86,2.404833716619938,2.3384564936046046,0
BC10,135E,0,7,bacteria,254,7.1,218,7.1,2.404833716619938,2.3384564936046046,0
BC10,135E,3,5,bacteria,22660000,6.504,21100000,6.58,7.355259905527379,7.324282455297693,3
BC10,135E,3,7,bacteria,259800000,7.39,205000000,7.34,8.41463914673701,8.311753861055754,3
BC10,135E,10,5,bacteria,86666666.66666667,6.773333333333333,58000000,6.77,7.937852093251156,7.763427993562937,10
BC10,135E,10,7,bacteria,257250000,7.72,144500000,7.619999999999999,8.41035538343447,8.159867847092567,10
BC10,135E,21,5,bacteria,94500000,7.157500000000001,53000000,7.175000000000001,7.975431808509263,7.724275869600789,21
BC10,135E,21,7,bacteria,292250000,7.91,304500000,7.95,8.465754519833878,8.483587296968894,21
BC10,BC9,0,5,bacteria,254,5.86,218,5.86,2.404833716619938,2.3384564936046046,0
BC10,BC9,0,7,bacteria,254,7.1,218,7.1,2.404833716619938,2.3384564936046046,0
BC10,BC9,3,5,bacteria,66440000,6.08,79200000,6.02,7.822429623779357,7.898725181589493,3
BC10,BC9,3,7,bacteria,223400000,7.2459999999999996,162000000,7.22,8.34908316877959,8.209515014542632,3
BC10,BC9,10,5,bacteria,88800000,6.582,91000000,6.57,7.948412965778601,7.959041392321094,10
BC10,BC9,10,7,bacteria,224000000,7.524,199000000,7.44,8.350248018334163,8.298853076409706,10
BC10,BC9,21,5,bacteria,115200000,6.79,116000000,6.77,8.061452479087194,8.064457989226918,21
BC10,BC9,21,7,bacteria,238400000,7.734,211000000,7.67,8.377306251068198,8.324282455297693,21
BC10,JB5,0,5,bacteria,254,5.86,218,5.86,2.404833716619938,2.3384564936046046,0
BC10,JB5,0,7,bacteria,254,7.1,218,7.1,2.404833716619938,2.3384564936046046,0
BC10,JB5,3,5,bacteria,46180000,6.0520000000000005,39000000,6.04,7.664453928581158,7.5910646070264995,3
BC10,JB5,3,7,bacteria,119600000,7.208,115000000,7.14,8.077731179652393,8.060697840353612,3
BC10,JB5,10,5,bacteria,61380000,6.548,62000000,6.45,7.788026884095804,7.7923916894982534,10
BC10,JB5,10,7,bacteria,169600000,7.678,135000000,7.59,8.229425847920695,8.130333768495007,10
BC10,JB5,21,5,bacteria,71000000,7.1625000000000005,52000000,7.215,7.8512583487190755,7.7160033436347994,21
BC10,JB5,21,7,bacteria,249200000,7.92,260000000,7.76,8.396548037987133,8.414973347970818,21
BC10,JB7,0,5,bacteria,254,5.86,218,5.86,2.404833716619938,2.3384564936046046,0
BC10,JB7,0,7,bacteria,254,7.1,218,7.1,2.404833716619938,2.3384564936046046,0
BC10,JB7,3,5,bacteria,64960000,6.0760000000000005,50800000,6.12,7.812646016233119,7.705863712283919,3
BC10,JB7,3,7,bacteria,176600000,7.24,184000000,7.16,8.24699069924155,8.264817823009537,3
BC10,JB7,10,5,bacteria,74250000,6.5225,72500000,6.4399999999999995,7.87069645798925,7.860338006570994,10
BC10,JB7,10,7,bacteria,180800000,7.72,164000000,7.65,8.257198426139345,8.214843848047698,10
BC10,JB7,21,5,bacteria,75000000,7.094,86000000,7,7.8750612633917,7.9344984512435675,21
BC10,JB7,21,7,bacteria,297600000,7.948,280000000,7.86,8.473632926873842,8.44715803134222,21
BC10,JBC,0,5,bacteria,254,5.86,218,5.86,2.404833716619938,2.3384564936046046,0
BC10,JBC,0,7,bacteria,254,7.1,218,7.1,2.404833716619938,2.3384564936046046,0
BC10,JBC,3,5,bacteria,100000000,6.192,88000000,6.17,8,7.944482672150168,3
BC10,JBC,3,7,bacteria,266600000,7.202,295000000,7.14,8.42586014507784,8.469822015978163,3
BC10,JBC,10,5,bacteria,24960000,6.77,29000000,6.84,7.397244581010386,7.4623979978989565,10
BC10,JBC,10,7,bacteria,111600000,6.778,129000000,6.7,8.04766419460156,8.11058971029925,10
BC10,JBC,21,5,bacteria,21625000,7.72,20750000,7.765000000000001,7.334956116136852,7.317018101048111,21
BC10,JBC,21,7,bacteria,121800000,7.821999999999999,114000000,7.83,8.085647288296856,8.056904851336473,21
BC10,JB370,0,5,bacteria,254,5.86,218,5.86,2.404833716619938,2.3384564936046046,0
BC10,JB370,0,7,bacteria,254,7.1,218,7.1,2.404833716619938,2.3384564936046046,0
BC10,JB370,3,5,bacteria,72200000,6.106,77000000,6.05,7.858537197569639,7.886490725172482,3
