"spec","est","se"
"BC9",17360000,4334927.91174202
"BC10",76500000,9133272.50588017
"JB5",6992000,6777510.90002812
"JB7",134,26.5706605111728
"X135E",22120000,1800388.84688836
"JBC",63800000,8416650.16500033
"JB370",7900000,1059716.94333912
