"spec","name","est","se","pH"
"BC9","K",17360000,4334927.91174202,5
"BC9","BC10",-0.0220862328118911,0.402916232263977,5
"BC9","JB5",-5778.36812144212,47046.669782783,5
"BC9","JB7",-47588.2352941176,756169.421421533,5
"BC9","X135E",-4.99735458192385,1.23620838309676,5
"BC9","JBC",0.0214262122804384,0.764018457462696,5
"BC9","JB370",-26.6102403286546,3.99667111659999,5
"BC10","K",76500000,9133272.50588017,5
"BC10","BC9",-0.852668511491004,0.847993635838835,5
"BC10","JB5",0.00100585346161609,0.0104812061900957,5
"BC10","JB7",-0.00889314592964442,0.0186246567765902,5
"BC10","X135E",-0.695844090946947,0.714106328904304,5
"BC10","JBC",0.957150570811478,0.476136247553691,5
"BC10","JB370",-22.2123067344609,3.90494416778707,5
"JB5","K",6992000,6777510.90002812,5
"JB5","BC9",0.205567604193301,16.2169995920404,5
"JB5","BC10",-20.7780991129194,5.85672922147396,5
"JB5","JB7",5426.08988008517,619866.748188028,5
"JB5","X135E",-115.86911932735,29.951976770273,5
"JB5","JBC",0.105554734183163,7.77313775279791,5
"JB5","JB370",-10.1209440587995,52.9144628297474,5
"JB7","K",134,26.5706605111728,5
"JB7","BC9",2.48547766242855e-06,7.55491186469062,5
"JB7","BC10",-15.873360785178,1.92835803166316,5
"JB7","JB5",-0.000390496609741615,329.755367564826,5
"JB7","X135E",-146.986694399049,8.79724296929077,5
"JB7","JBC",-0.0429180848832772,1.00738764918091,5
"JB7","JB370",-30.7993603726292,20.2465884651865,5
"X135E","K",22120000,1800388.84688836,5
"X135E","BC9",-0.0653066960329555,0.0192106479923106,5
"X135E","BC10",-0.119391249207356,0.0407542051282992,5
"X135E","JB5",0.00292372146642985,0.00215970313117852,5
"X135E","JB7",0.00136539608136215,0.00165370264206979,5
"X135E","JBC",0.127568239964711,0.0403248192949185,5
"X135E","JB370",2.13559977888336,1.17281845959985,5
"JBC","K",63800000,8416650.16500033,5
"JBC","BC9",-0.181027047207097,0.854114462757032,5
"JBC","BC10",0.343863949480857,0.859564954450595,5
"JBC","JB5",-2500.00000000002,32212.063503108,5
"JBC","JB7",-15.9513094109344,2.57307568870258,5
"JBC","X135E",46310.3448275862,38282.4321637779,5
"JBC","JB370",24.8219169433602,41.2314105068033,5
"JB370","K",7900000,1059716.94333912,5
"JB370","BC9",-0.0116610594624977,0.00468088026455102,5
"JB370","BC10",0.00409441233140654,0.00865179612648828,5
"JB370","JB5",0.000521727644961022,0.0147501440334762,5
"JB370","JB7",-0.0025720357088719,0.00623983326105798,5
"JB370","X135E",0.307040247593224,0.150190702522098,5
"JB370","JBC",0.157694541217594,0.0489802485611718,5
