"spec","name","est","se","pH"
"BC9","K",2.34e+08,35440090.2933387,7
"BC9","BC10",0.771286737895645,0.217407899973122,7
"BC9","JB5",-0.0057803022475012,0.014761968415042,7
"BC9","JB7",-0.0450285560664839,0.0210166603310445,7
"BC9","X135E",-2.29256001282411,2.66049478585834,7
"BC9","JBC",1.2332793084819,1.23560761837855,7
"BC9","JB370",57.7327509504165,75.5947885271875,7
"BC10","K",249200000,55470172.1648671,7
"BC10","BC9",0.355814905814905,1.01719239463103,7
"BC10","JB5",-0.00419420621674336,0.0122342268112594,7
"BC10","JB7",-0.0189509579752425,0.0168700324490291,7
"BC10","X135E",1.2789045204599,3.00365737801021,7
"BC10","JBC",2.11646188914216,0.749594795439229,7
"BC10","JB370",164.543864033991,79.4678857058917,7
"JB5","K",3.9e+09,398748040.747538,7
"JB5","BC9",2.62291528640018,1.60910152852686,7
"JB5","BC10",1.27656966558843,1.94561586950539,7
"JB5","JB7",0.928434254130707,0.272281138418679,7
"JB5","X135E",37.8058202420809,43.7971354780305,7
"JB5","JBC",72.2906473500825,10.7750952014875,7
"JB5","JB370",2976.49486055337,482.958641774915,7
"JB7","K",1.744e+09,94477510.5514535,7
"JB7","BC9",-1.57423549247668,0.555860159785992,7
"JB7","BC10",-2.89910837784351,0.717192773869368,7
"JB7","JB5",-0.0486115265834412,0.100916136904928,7
"JB7","X135E",-201.448673698438,17.0794855384944,7
"JB7","JBC",4.32189510625853,4.85423886712082,7
"JB7","JB370",141.315929675013,179.428058819843,7
"X135E","K",8920000,3804392.19849899,7
"X135E","BC9",-0.0201047824046637,0.0125432017870657,7
"X135E","BC10",-0.00282153649752805,0.0129692266428902,7
"X135E","JB5",-0.000515137480323368,0.00101506336744659,7
"X135E","JB7",-0.000892741344939105,0.000860637084882217,7
"X135E","JBC",0.164397637515121,0.0712854061541411,7
"X135E","JB370",-1.02998741170151,2.39286854884657,7
"JBC","K",69200000,11702136.5570566,7
"JBC","BC9",0.10980366290702,0.0444881589229555,7
"JBC","BC10",0.0753267002285911,0.0689771981573254,7
"JBC","JB5",0.157495099778191,0.119735223053694,7
"JBC","JB7",0.0149791080819154,0.00534823230934752,7
"JBC","X135E",NA,NA,7
"JBC","JB370",4996.39103568473,5629.8697320099,7
"JB370","K",1294000,307109.101135085,7
"JB370","BC9",0.00274992553636383,0.000857011505639815,7
"JB370","BC10",0.00353021207398875,0.00128609683046861,7
"JB370","JB5",0.000275569506169002,0.00027544149001972,7
"JB370","JB7",-5.75422917331634e-05,0.000161161503191584,7
"JB370","X135E",-0.0862351429964325,0.0256210364411835,7
"JB370","JBC",0.0189429530159129,0.00391847634737017,7
