"spec","ph","r","k","fit.status"
"JB370",5,0.692529019361645,6416112.2490363,0
"JBC",5,1.39405535869194,56691438.3457788,0
"135E",5,74.7639150778041,15746162.3011741,0
"JB5",5,0.324008699023859,154975.708208104,0
"BC10",5,99.9999999999125,69963609.5928221,0
"BC9",5,2.57898255170337,22588243.6083029,0
"JB7",5,6.24678726138343,124.594569405286,52
