"spec","cond","pH","rep","day","count","dilution","cfus","measured.pH","class"
"JB7","community",7,1,0,98,0,245,7.1,"bacteria"
"135E","alone",7,1,0,270,0,675,7.1,"fungi"
"135E","BC9",7,1,0,270,0,675,7.1,"fungi"
"135E","BC10",7,1,0,270,0,675,7.1,"fungi"
"135E","JB5",7,1,0,270,0,675,7.1,"fungi"
"135E","JB7",7,1,0,270,0,675,7.1,"fungi"
"135E","JBC",7,1,0,270,0,675,7.1,"fungi"
"135E","JB370",7,1,0,270,0,675,7.1,"fungi"
"135E","community",7,1,0,270,0,675,7.1,"fungi"
"JBC","alone",7,1,0,26,-1,650,7.1,"fungi"
"JBC","BC9",7,1,0,26,-1,650,7.1,"fungi"
"JBC","BC10",7,1,0,26,-1,650,7.1,"fungi"
"JBC","JB5",7,1,0,26,-1,650,7.1,"fungi"
"JBC","JB7",7,1,0,26,-1,650,7.1,"fungi"
"JBC","135E",7,1,0,26,-1,650,7.1,"fungi"
"JBC","JB370",7,1,0,26,-1,650,7.1,"fungi"
"JBC","community",7,1,0,26,-1,650,7.1,"fungi"
"JB370","alone",7,1,0,30,-1,750,7.1,"fungi"
"JB370","BC9",7,1,0,30,-1,750,7.1,"fungi"
"JB370","BC10",7,1,0,30,-1,750,7.1,"fungi"
"JB370","JB5",7,1,0,30,-1,750,7.1,"fungi"
"JB370","JB7",7,1,0,30,-1,750,7.1,"fungi"
"JB370","135E",7,1,0,30,-1,750,7.1,"fungi"
"JB370","JBC",7,1,0,30,-1,750,7.1,"fungi"
"JB370","community",7,1,0,30,-1,750,7.1,"fungi"
"BC9","alone",5,1,3,1612,-2,1610000,6.01,"bacteria"
"BC9","BC10",5,1,3,67,-4,6700000,6.2,"bacteria"
"BC9","JB5",5,1,3,128,-3,1280000,6.05,"bacteria"
"BC9","JB7",5,1,3,257,-3,2570000,6.02,"bacteria"
"BC9","135E",5,1,3,353,-4,35300000,6.59,"bacteria"
"BC9","JBC",5,1,3,512,-4,51200000,6.17,"bacteria"
"BC9","JB370",5,1,3,67,-4,6700000,5.95,"bacteria"
"BC9","community",5,1,3,9,-5,9e+06,6.65,"bacteria"
"BC10","alone",5,1,3,696,-4,69600000,6.12,"bacteria"
"BC10","BC9",5,1,3,792,-4,79200000,6.2,"bacteria"
"BC10","JB5",5,1,3,754,-4,75400000,6.1,"bacteria"
"BC10","JB7",5,1,3,1050,-4,1.05e+08,6.12,"bacteria"
"BC10","135E",5,1,3,7,-4,7e+05,5.97,"bacteria"
"BC10","JBC",5,1,3,82,-5,8.2e+07,6.17,"bacteria"
"BC10","JB370",5,1,3,103,-5,1.03e+08,6.12,"bacteria"
"BC10","community",5,1,3,47,-5,4.7e+07,6.65,"bacteria"
"JB5","alone",5,1,3,47,0,470,6.08,"bacteria"
"JB5","BC9",5,1,3,7,-1,700,6.05,"bacteria"
"JB5","BC10",5,1,3,65,-1,6500,6.1,"bacteria"
"JB5","JB7",5,1,3,45,0,450,6.03,"bacteria"
